Elmis sp.,Androprosopa sp.,Atherix sp.,Blepharicera sp.,Ceratopogonidae,Cheilotrichia sp.,Diamesinae,Orthocladiinae,Dicranota sp.,Dixa puberula,Empididae,Elaeophila sp.,Erioptera sp.,Hapalothrix lugubris,Lispe sp.,Liponeura sp.,Pedicia sp.,Prosimulium sp.,Psychodidae,Rhabdomastix sp.,Rhypholophus sp.,Simulium sp.,Tipula sp.,Baetis alpinus,Ecdyonurus sp.,Epeorus alpicola,Rhithrogena sp.,Enchytraeidae,Eiseniella tetraedra,Gordius sp.,Haplotaxis sp.,Lumbriculidae,Mermithidae,Capnia sp.,Chloroperla sp.,Dictyogenus alpinus,Dictyogenus fontium,Isoperla sp.,Leuctra sp.,Nemoura mortoni,Perlodes sp.,Protonemura sp.,Rhabdiopteryx alpina,Siphonoperla sp.,Acrophylax zerberus,Allogamus auricollis,Allogamus uncatus,Annitella obscurata,Chaetopteryx major,Cryptothrix nebulicola,Drusus biguttatus,Drusus discolor,Drusus melanchaetes,Drusus mixtus,Drusus muelleri,Glossosoma sp.,Halesus rubricollis,Limnephilidae juv.,Melampophylax nepos,Philopotamus sp.,Potamophylax cingulatus,Pseudopsilopteryx zimmeri,Rhyacophila sp.,Crenobia alpina,Sialidae
0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,0,0,59,5,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,241,25,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,44,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,88,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,2,0,0,50,5,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,95,4,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,141,59,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,109,4,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,58,97,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,7,19,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
