Elmis sp.,Androprosopa sp.,Atherix sp.,Blepharicera sp.,Ceratopogonidae,Cheilotrichia sp.,Diamesinae,Orthocladiinae,Dicranota sp.,Dixa puberula,Empididae,Elaeophila sp.,Erioptera sp.,Hapalothrix lugubris,Lispe sp.,Liponeura sp.,Pedicia sp.,Prosimulium sp.,Psychodidae,Rhabdomastix sp.,Rhypholophus sp.,Simulium sp.,Tipula sp.,Baetis alpinus,Ecdyonurus sp.,Epeorus alpicola,Rhithrogena sp.,Enchytraeidae,Eiseniella tetraedra,Gordius sp.,Haplotaxis sp.,Lumbriculidae,Mermithidae,Capnia sp.,Chloroperla sp.,Dictyogenus alpinus,Dictyogenus fontium,Isoperla sp.,Leuctra sp.,Nemoura mortoni,Perlodes sp.,Protonemura sp.,Rhabdiopteryx alpina,Siphonoperla sp.,Acrophylax zerberus,Allogamus auricollis,Allogamus uncatus,Annitella obscurata,Chaetopteryx major,Cryptothrix nebulicola,Drusus biguttatus,Drusus discolor,Drusus melanchaetes,Drusus mixtus,Drusus muelleri,Glossosoma sp.,Halesus rubricollis,Limnephilidae juv.,Melampophylax nepos,Philopotamus sp.,Potamophylax cingulatus,Pseudopsilopteryx zimmeri,Rhyacophila sp.,Crenobia alpina,Sialidae
0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,25,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,32,5,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,91,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0
0,0,0,0,0,1,50,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,118,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,37,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,117,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,101,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,89,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,45,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
