Elmis sp.,Androprosopa sp.,Atherix sp.,Blepharicera sp.,Ceratopogonidae,Cheilotrichia sp.,Diamesinae,Orthocladiinae,Dicranota sp.,Dixa puberula,Empididae,Elaeophila sp.,Erioptera sp.,Hapalothrix lugubris,Lispe sp.,Liponeura sp.,Pedicia sp.,Prosimulium sp.,Psychodidae,Rhabdomastix sp.,Rhypholophus sp.,Simulium sp.,Tipula sp.,Baetis alpinus,Ecdyonurus sp.,Epeorus alpicola,Rhithrogena sp.,Enchytraeidae,Eiseniella tetraedra,Gordius sp.,Haplotaxis sp.,Lumbriculidae,Mermithidae,Capnia sp.,Chloroperla sp.,Dictyogenus alpinus,Dictyogenus fontium,Isoperla sp.,Leuctra sp.,Nemoura mortoni,Perlodes sp.,Protonemura sp.,Rhabdiopteryx alpina,Siphonoperla sp.,Acrophylax zerberus,Allogamus auricollis,Allogamus uncatus,Annitella obscurata,Chaetopteryx major,Cryptothrix nebulicola,Drusus biguttatus,Drusus discolor,Drusus melanchaetes,Drusus mixtus,Drusus muelleri,Glossosoma sp.,Halesus rubricollis,Limnephilidae juv.,Melampophylax nepos,Philopotamus sp.,Potamophylax cingulatus,Pseudopsilopteryx zimmeri,Rhyacophila sp.,Crenobia alpina,Sialidae
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,7,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,1,4,2,9,0,2,0,0,0,0,0,0,0,0,7,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,31,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0
0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,11,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,3,342,13,6,0,6,0,0,0,0,0,0,4,1,16,0,13,0,26,0,3,0,0,0,0,1,0,1,0,0,0,0,7,108,2,0,51,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0
0,0,0,0,0,2,393,21,4,0,14,0,0,0,0,0,0,7,0,29,0,9,0,74,0,2,0,0,0,0,1,0,0,0,0,0,0,5,71,3,0,83,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,0,0
0,0,0,1,0,1,256,11,1,0,12,0,0,0,0,0,0,14,1,13,0,16,0,82,0,0,0,0,0,0,1,0,0,0,0,0,0,1,60,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,1,0,0,1,163,10,25,1,5,0,0,0,1,1,0,13,0,40,0,3,0,218,0,0,0,0,0,0,3,0,0,0,0,0,0,3,199,4,0,116,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,25,0,0
0,0,0,0,0,0,89,8,9,0,17,0,0,0,0,0,0,35,0,8,0,8,0,204,2,2,0,0,0,0,0,0,0,0,0,0,0,12,154,0,3,322,2,0,0,0,0,0,6,0,0,1,0,1,0,0,0,15,0,0,0,0,19,0,0
0,0,0,0,0,0,69,8,10,1,6,0,0,0,0,0,0,7,0,21,0,1,0,138,0,2,0,1,0,0,0,0,0,0,0,0,0,0,74,0,0,58,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,9,6,0,2,0,0,0,0,0,0,4,0,21,0,3,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,95,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0
